HDR26 Pin,DB25 Pin,HUB75 pin, Function, ,HDR26 Pin,DB25 Pin,HUB75 pin, Function
 1,  1, N/A , ENA/E-STOP, , 2, 14, J3:6, GPIO
 3,  2, J7:2, GPIO, ,  4, 15, J3:5, GPIO
 5,  3, J7:4, GPIO, ,  6, 16, J3:4, GPIO
 7,  4, J7:5, GPIO, ,  8, 17, J3:2, GPIO
 9,  5, J7:6, GPIO, , 10, 18, N/A , GND
11,  6, J6:0, GPIO, , 12, 19, N/A , GND
13,  7, J6:1, GPIO, , 14, 20, N/A , GND
15,  8, J6:2, GPIO, , 16, 21, N/A , GND
17,  9, J6:4, GPIO, , 18, 22, N/A , GND/5V
19, 10, J2:4, GPIO, , 20, 23, N/A , GND/5V
21, 11, J2:2, GPIO, , 22, 24, N/A , GND/5V
23, 12, J2:1, GPIO, , 24, 25, N/A , GND/5V
25, 13, J2:0, GPIO, , 26, NC, N/A , GND/5V
