Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,48.514,-89.4965,90.0,bottom
C2,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,9.398,-77.724,270.0,bottom
C3,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,24.003,-89.662,90.0,bottom
C4,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,36.449,-89.662,90.0,bottom
J1,Screw_Terminal_01x03,CONN-TH_3P-P5.08_KF142V-5.08-3P,73.701,-22.158714,180.0,top
J2,Screw_Terminal_01x03,CONN-TH_3P-P5.08_KF142V-5.08-3P,73.701,-37.635717,180.0,top
J3,Screw_Terminal_01x03,CONN-TH_3P-P5.08_KF142V-5.08-3P,73.756995,-53.129717,180.0,top
J4,Screw_Terminal_01x03,CONN-TH_3P-P5.08_KF142V-5.08-3P,73.701,-68.369717,180.0,top
J5,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.682982,-22.35056,180.0,top
J6,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.682951,-37.810317,180.0,top
J7,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.682962,-53.299237,180.0,top
J8,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.682972,-68.549143,180.0,top
J9,Conn_02x13_Odd_Even,IDC-Header_2x13_P2.54mm_Vertical,57.531,-6.6135,90.0,top
JP1,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,84.709,-25.639,0.0,top
JP2,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,84.709,-41.133,0.0,top
JP3,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,84.734,-56.642,0.0,top
JP4,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,84.709,-71.867,0.0,top
JP5,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,12.319,-25.131,0.0,top
JP6,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,12.319,-40.625,0.0,top
JP7,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,12.319,-56.119,0.0,top
JP8,Jumper_3_Open,PinHeader_1x03_P2.54mm_Vertical,12.319,-71.359,0.0,top
R1,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.899,-24.13,270.0,bottom
R2,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,92.329,-12.7,270.0,bottom
R3,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.899,-39.624,270.0,bottom
R4,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,92.329,-28.22,270.0,bottom
R5,1k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.899,-55.118,270.0,bottom
R6,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,92.329,-43.688,270.0,bottom
R7,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,80.899,-70.358,270.0,bottom
R8,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,92.329,-58.928,270.0,bottom
R9,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.583,-39.624,0.0,bottom
R10,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.583,-24.13,0.0,bottom
R11,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.583,-54.991,0.0,bottom
R12,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,46.583,-70.231,0.0,bottom
R13,10k,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,38.7604,-5.816,90.0,bottom
U1,LTV-814,DIP-4_W7.62mm,88.509,-18.293,0.0,top
U2,LTV-814,DIP-4_W7.62mm,88.509,-33.787,0.0,top
U3,LTV-814,DIP-4_W7.62mm,88.509,-49.281,0.0,top
U4,LTV-814,DIP-4_W7.62mm,88.509,-64.521,0.0,top
U5,AM26LS31CD,SOIC-16_3.9x9.9mm_P1.27mm,18.542,-85.4413,270.0,bottom
U6,AM26LS31CD,SOIC-16_3.9x9.9mm_P1.27mm,30.923,-85.471,270.0,bottom
U7,KF142V-5_08-2P,CONN-TH_P5.08_KF142V-5.08-2P,71.246997,-83.160998,180.0,top
U8,74HC86,SOIC-14_3.9x8.7mm_P1.27mm,6.985,-70.485,270.0,bottom
U9,AM26LS31CD,SOIC-16_3.9x9.9mm_P1.27mm,43.307,-85.471,270.0,bottom
