Comment,Designator,Footprint,LCSC
Conn_02x04_Odd_Even,J6,PinSocket_2x04_P1.27mm_Horizontal,
Conn_02x04_Odd_Even,J7,PinSocket_2x04_P1.27mm_Horizontal,
Screw_Terminal_01x08,J5,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Jumper_2_Open,JP2,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP7,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP1,PinHeader_1x02_P2.54mm_Vertical,
Screw_Terminal_01x08,J3,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Jumper_2_Open,JP9,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP11,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP12,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP3,PinHeader_1x02_P2.54mm_Vertical,
MountingHole_Pad,H3,MountingHole_3.2mm_M3_Pad_Via,
MountingHole_Pad,H1,MountingHole_3.2mm_M3_Pad_Via,
Jumper_2_Open,JP10,PinHeader_1x02_P2.54mm_Vertical,
MountingHole_Pad,H4,MountingHole_3.2mm_M3_Pad_Via,
Screw_Terminal_01x08,J2,CONN-TH_8P-P5.08_KF142V-5.08-8P,
Screw_Terminal_01x08,J4,CONN-TH_8P-P5.08_KF142V-5.08-8P,
MountingHole_Pad,H2,MountingHole_3.2mm_M3_Pad_Via,
Jumper_2_Open,JP4,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP5,PinHeader_1x02_P2.54mm_Vertical,
Conn_02x13_Odd_Even,J1,IDC-Header_2x13_P2.54mm_Vertical,
Jumper_2_Open,JP8,PinHeader_1x02_P2.54mm_Vertical,
Jumper_2_Open,JP6,PinHeader_1x02_P2.54mm_Vertical,
AM26LV32xD,U2,SOIC-16_3.9x9.9mm_P1.27mm,
AM26LV32xD,U3,SOIC-16_3.9x9.9mm_P1.27mm,
0.1uF,C3,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
AM26LV32xD,U1,SOIC-16_3.9x9.9mm_P1.27mm,
MMSZ5222BT1G,D1,D_SOD-123,
R,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Polyfuse_Small,F1,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
0.1uF,C2,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
0.1uF,C1,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
