Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,24.13,-89.535,90.0,bottom
C2,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,36.449,-89.535,90.0,bottom
C3,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,48.895,-89.535,90.0,bottom
D1,MMSZ5222BT1G,D_SOD-123,7.111,-22.733,180.0,bottom
F1,Polyfuse_Small,R_1812_4532Metric_Pad1.30x3.40mm_HandSolder,49.1236,-14.5288,270.0,bottom
J1,Conn_02x13_Odd_Even,IDC-Header_2x13_P2.54mm_Vertical,32.131,-6.4865,90.0,top
J2,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.683023,-22.321127,180.0,top
J3,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.683023,-53.309127,180.0,top
J4,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.683023,-37.815127,180.0,top
J5,Screw_Terminal_01x08,CONN-TH_8P-P5.08_KF142V-5.08-8P,36.683023,-68.549127,180.0,top
J6,Conn_02x04_Odd_Even,PinSocket_2x04_P1.27mm_Horizontal,61.6296,-11.86,180.0,top
J7,Conn_02x04_Odd_Even,PinSocket_2x04_P1.27mm_Horizontal,3.3528,-11.95,0.0,top
JP1,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,7.879,-26.421,0.0,top
JP2,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,10.419,-26.416,0.0,top
JP3,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,12.959,-26.416,0.0,top
JP4,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,7.874,-57.414,0.0,top
JP5,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,10.414,-57.409,0.0,top
JP6,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,12.954,-57.409,0.0,top
JP7,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,7.874,-41.915,0.0,top
JP8,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,10.414,-41.915,0.0,top
JP9,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,12.954,-41.915,0.0,top
JP10,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,7.874,-72.654,0.0,top
JP11,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,10.414,-72.649,0.0,top
JP12,Jumper_2_Open,PinHeader_1x02_P2.54mm_Vertical,12.954,-72.649,0.0,top
R1,R,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,5.461,-18.923,270.0,bottom
U1,AM26LV32xD,SOIC-16_3.9x9.9mm_P1.27mm,18.542,-85.4413,270.0,bottom
U2,AM26LV32xD,SOIC-16_3.9x9.9mm_P1.27mm,30.923,-85.4413,270.0,bottom
U3,AM26LV32xD,SOIC-16_3.9x9.9mm_P1.27mm,43.307,-85.4413,270.0,bottom
