Comment,Designator,Footprint,LCSC
100nF,"C1,C16,C17,C18,C19,C2,C20,C21,C3,C4,C5,C6,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C3015151
CN1J4KTTD1002F,"RN1,RN10,RN11,RN12,RN2,RN3,RN4,RN5,RN6,RN7,RN8,RN9",R_Array_Convex_4x0603_handsolder,C520377
R,R5,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R,R4,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
R,R3,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Conn_02x20_Odd_Even,J17,PinHeader_2x20_P2.54mm_Vertical,
Conn_02x13_Odd_Even,J2,IDC-Header_2x13_P2.54mm_Vertical,
108L,F3,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
108L,F1,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
120,R11,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
108L,F7,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
4.6k,R6,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
0.1uF,C13,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
0.1uF,C14,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
4.6k,R16,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
LED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
2.4k,R14,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4.6K,R19,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
100n,C8,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
4.6K,R10,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
1u,C7,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
120,R21,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4.6K,R18,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
108L,F4,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
0.1uF,C12,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
74HC04,U9,SOIC-14_3.9x8.7mm_P1.27mm,
2.4k,R13,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
SolderJumper_3_Open,JP7,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
108L,F2,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
74HC04,U11,SOIC-14_3.9x8.7mm_P1.27mm,
2.4k,R12,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
4.6K,R7,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
140,R2,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
108L,F5,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
2.4k,R15,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
108L,F6,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,
300,R1,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Conn_02x13_Odd_Even,J3,IDC-Header_2x13_P2.54mm_Vertical,
4.6K,R9,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
Conn_02x13_Odd_Even,J1,IDC-Header_2x13_P2.54mm_Vertical,
4.6K,R20,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
MAX3485,U12,SOIC-8_3.9x4.9mm_P1.27mm,
74CB3T3245,U8,TSSOP-20_4.4x6.5mm_P0.65mm,
0.1uF,C11,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,
MAX3485,U10,SOIC-8_3.9x4.9mm_P1.27mm,
SM6T6V8A,D12,D_SMB,
1N4148W,D4,D_SOD-123,
V8.0,J14,PinHeader_1x02_P2.54mm_Vertical,
v8.0,J8,PinHeader_1x04_P2.54mm_Vertical,
HUB75,J4,PinSocket_2x08_P2.54mm_Vertical,
V7.0,J13,PinHeader_1x02_P2.54mm_Vertical,
HUB75,J12,PinSocket_2x08_P2.54mm_Vertical,
56k,R8,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,
