Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.045,42.691,90.0,bottom
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.082,34.944,90.0,bottom
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.2433,28.4416,180.0,bottom
C4,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.2556,30.8292,180.0,bottom
C5,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.9808,28.4416,180.0,bottom
C6,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.9808,30.8292,180.0,bottom
C7,1u,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,47.304,28.848,-90.0,top
C8,100n,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,44.51,28.848,-90.0,top
C9,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.135,57.804,270.0,bottom
C10,33pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,72.45,57.5115,270.0,bottom
C11,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,63.0135,66.948,180.0,top
C12,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,71.1415,66.948,180.0,top
C13,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,62.798,36.976,180.0,top
C14,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,70.6335,36.976,180.0,top
C15,33pF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,72.196,27.6665,270.0,bottom
C16,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,112.328,10.306,270.0,bottom
C17,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,89.722,23.26,90.0,top
C18,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,33.08,54.248,-90.0,top
C19,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,107.502,63.138,270.0,bottom
C20,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.472,63.138,270.0,bottom
C21,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.522,33.42,90.0,bottom
D1,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,5.14,12.846,90.0,top
D2,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,8.696,12.846,90.0,top
D4,1N4148W,D_SOD-123,67.37,57.424,90.0,bottom
D5,SM712_SOT23,SOT-23,80.2455,53.486,0.0,bottom
