Comment,Designator,Footprint,LCSC
74CB3T3245,"U1,U2,U3,U4,U5,U6,U8",TSSOP-20_4.4x6.5mm_P0.65mm,C15298
33pF,"C10,C15",C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,C1663
150,"R12,R13,R14,R15,R2",R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17471
300,R1,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,C17617
R,"R3,R4,R5",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17902
120,"R11,R21",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17909
4.7K,"R10,R16,R18,R19,R20,R6,R7,R9",R_1206_3216Metric_Pad1.30x1.75mm_HandSolder,C17936
56k,"R17,R8",R_0603_1608Metric_Pad0.98x0.95mm_HandSolder,C23206
100nF,"C1,C11,C12,C13,C14,C16,C17,C18,C19,C2,C20,C21,C3,C4,C5,C6,C7,C9",C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,C24497
SM712_SOT23,"D11,D5",SOT-23,C2687124
CN1J4KTTD1002F,"RN1,RN10,RN11,RN12,RN2,RN3,RN4,RN5,RN6,RN7,RN8,RN9",R_Array_Convex_4x0603_handsolder,C29718
108L,"F1,F2,F3,F4,F5,F6,F7",Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder,C782760
MAX3485,"U10,U12",SOIC-8_3.9x4.9mm_P1.27mm,C8963
Conn_02x20_Odd_Even,J17,IDC-Header_2x20_P2.54mm_Vertical,
Conn_02x13_Odd_Even,J2,IDC-Header_2x13_P2.54mm_Vertical,
LED,D9,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jumper_3_Open,JP6,PinHeader_1x03_P2.54mm_Vertical,
LED,D1,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
LED,D6,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jumper_3_Open,JP4,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP1,PinHeader_1x03_P2.54mm_Vertical,
LED,D2,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jumper_3_Open,JP3,PinHeader_1x03_P2.54mm_Vertical,
SolderJumper_3_Open,JP7,SolderJumper-3_P2.0mm_Open_TrianglePad1.0x1.5mm,
LED,D7,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
Jumper_3_Open,JP5,PinHeader_1x03_P2.54mm_Vertical,
Jumper_3_Open,JP2,PinHeader_1x03_P2.54mm_Vertical,
Conn_02x13_Odd_Even,J3,IDC-Header_2x13_P2.54mm_Vertical,
Conn_02x13_Odd_Even,J1,IDC-Header_2x13_P2.54mm_Vertical,
LED,D8,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,
1N4148W,D4,D_SOD-123,
V8.0,J14,PinHeader_1x02_P2.54mm_Vertical,
74HC04,U7,SOIC-14_3.9x8.7mm_P1.27mm,
v8.0,J8,PinHeader_1x04_P2.54mm_Vertical,
HUB75,J4,PinSocket_2x08_P2.54mm_Vertical,
V7.0,J13,PinHeader_1x02_P2.54mm_Vertical,
HUB75,J12,PinSocket_2x08_P2.54mm_Vertical,
HUB75,J11,PinSocket_2x08_P2.54mm_Vertical,
74HC04,U9,SOIC-14_3.9x8.7mm_P1.27mm,
74HC04,U11,SOIC-14_3.9x8.7mm_P1.27mm,
1N4148W,D10,D_SOD-123,
HUB75,J6,PinSocket_2x08_P2.54mm_Vertical,
HUB75,J15,PinSocket_2x08_P2.54mm_Vertical,
v7.0,J7,PinHeader_1x04_P2.54mm_Vertical,
HUB75,J16,PinSocket_2x08_P2.54mm_Vertical,
Conn_01x02,J10,SolderWire-0.5sqmm_1x02_P4.6mm_D0.9mm_OD2.1mm_Relief,
HUB75,J5,PinSocket_2x08_P2.54mm_Vertical,
HUB75,J9,PinSocket_2x08_P2.54mm_Vertical,
