Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.045,42.691,90.0,bottom
C2,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,134.082,34.944,90.0,bottom
C3,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.2433,28.4416,180.0,bottom
C4,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,117.2556,30.8292,180.0,bottom
C5,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.9808,28.4416,180.0,bottom
C6,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,102.9808,30.8292,180.0,bottom
C7,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,31.5052,48.8001,270.0,bottom
C9,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.135,57.804,270.0,bottom
C10,33pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,51.2156,58.2623,270.0,bottom
C11,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,46.6944,61.5632,0.0,bottom
C12,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,65.6936,54.756,180.0,bottom
C13,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,59.3944,25.3428,0.0,bottom
C14,0.1uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,76.006,17.1132,180.0,bottom
C15,33pF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.8648,21.9911,270.0,bottom
C16,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,112.328,10.306,270.0,bottom
C17,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,92.1096,20.7708,0.0,bottom
C18,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,42.6304,58.1088,90.0,bottom
C19,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,107.502,63.138,270.0,bottom
C20,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,121.472,63.138,270.0,bottom
C21,100nF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,140.522,33.42,90.0,bottom
D1,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,5.14,12.846,90.0,top
D2,LED,LED_1206_3216Metric_Pad1.42x1.75mm_HandSolder,8.696,12.846,90.0,top
D4,1N4148W,D_SOD-123,47.7104,57.4748,90.0,bottom
D5,SM712_SOT23,SOT-23,79.4373,57.6116,0.0,bottom
